experiment,pitch_type,outcome,intercept,b1_mean,b1_sd,b1_hdi_lo,b1_hdi_hi,b2_mean,b2_sd,b2_hdi_lo,b2_hdi_hi,b1_significant,b2_significant,significant,pct_b2_negative,peak_age_median,peak_age_hdi_lo,peak_age_hdi_hi,decline_at_mean,sigma_u_mean,loo,n_high_pareto_k,pct_high_pareto_k,is_linear_model,n_obs,n_groups
base,FF,mean_velo,93.66182674690775,-0.17680774969400603,0.01651023428703894,-0.21130702756352257,-0.14600034833164305,-0.011645365678635701,0.0010228061845223213,-0.013653794333746956,-0.009667159647077648,True,True,True,1.0,21.284,19.168,23.267,-0.17680774969400603,2.0908143406433326,-6958.124929625584,4,0.0008,False,4857,
base,FF,mean_spin_rate,2275.2582509588096,1.2404835573119564,0.8426180312730088,-0.443131310081832,2.8984561562921285,-0.5682112760476237,0.06866635737256298,-0.7034376939516569,-0.4355515186131115,False,True,True,1.0,29.993,28.539,31.535,1.2404835573119564,127.61740705287744,-27379.320849921845,0,0.0,False,4857,
base,FF,mean_pfx_x,-0.27479416617627433,-0.007387303674930828,0.0030599323603858635,-0.01318373537964004,-0.0010573696046030975,0.00010432786275117334,0.00014192398636564442,-0.00016751418500222256,0.00038001503918442777,True,False,True,0.2341,,,,-0.007387303674930828,0.6138211179506183,2763.2833334282905,16,0.0033,False,4857,
base,FF,mean_pfx_z,1.31411126610895,0.00012234723175906474,0.0013321641597668272,-0.0025444290214253562,0.002641092091351838,-0.00023073741004622108,9.68290479015796e-05,-0.0004157910685469888,-4.167524209339961e-05,False,True,True,0.9918,29.213,21.04,36.508,0.00012234723175906474,0.1832353360452164,4539.567027563371,1,0.0002,False,4857,
base,SL,mean_velo,85.03640242033033,-0.08120007605987498,0.024511752740572122,-0.1307038583958867,-0.035110906776931475,-0.013063335716318064,0.0018500532225023709,-0.01667620093151382,-0.009408157467615497,True,True,True,1.0,25.792,23.428,27.836,-0.08120007605987498,2.591857189657383,-5714.582777767308,0,0.0,False,3196,
base,SL,mean_spin_rate,2367.462150141568,3.276118968748761,1.8283403790908435,-0.42183573753854314,6.558233418448977,-0.665343719381323,0.12583053889929235,-0.9082335229767841,-0.41641444464045324,False,True,True,1.0,31.405,28.571,34.329,3.276118968748761,205.49286988550483,-19284.160630004175,1,0.0003,False,3196,
base,SL,mean_pfx_x,0.22050518198714714,-0.003321953604795986,0.0035718096633114717,-0.010509322940803041,0.003576916297051712,0.00040843385107126434,0.00016931020537624335,7.539274415790394e-05,0.0007402060393361635,False,True,True,0.0083,,,,-0.003321953604795986,0.46637475717989674,1639.7841677532178,20,0.0063,False,3196,
base,SL,mean_pfx_z,0.1416565918090719,0.008847512799964758,0.002163858584164422,0.0047758535113356275,0.013211178130627598,,,,,True,False,True,,,,,0.008847512799964758,0.24770406516499502,940.5988828858633,0,0.0,True,3196,
base,SI,mean_velo,93.22715848576837,-0.2063387981644356,0.02385919739082497,-0.2504337544934229,-0.157578929277013,-0.009524028683394232,0.001304323842813036,-0.012096986230672745,-0.007049231849451409,True,True,True,1.0,18.372,15.098,21.137,-0.2063387981644356,2.3666992415860912,-4120.451794696254,2,0.0007,False,2898,
base,SI,mean_spin_rate,2163.586820089483,1.0383386441804205,1.1017626755547383,-1.0386490839688098,3.24316526708575,-0.4405618549850204,0.08780525929606321,-0.6239207021129082,-0.28044636874017764,False,True,True,1.0,30.114,27.525,32.663,1.0383386441804205,137.84985649483204,-16263.773820843351,2,0.0007,False,2898,
base,SI,mean_pfx_z,0.756818593911094,0.0005547050496394303,0.003174504390759535,-0.0053736896858384035,0.007075149072728278,-0.0006328788765938744,0.00017512816949057152,-0.0009619011964421964,-0.00027400499038743764,False,True,True,0.9999,29.334,23.407,34.934,0.0005547050496394303,0.3493641518631722,1797.5212723849709,2,0.0007,False,2898,
base,CH,mean_velo,85.22925476062207,-0.08360536365815392,0.04271345468221486,-0.1570982291233211,0.005349250668663785,-0.01767931815979744,0.0017043343692022092,-0.020949111404693518,-0.0143634405169744,False,True,True,1.0,26.465,24.146,29.098,-0.08360536365815392,2.9465894796038157,-4187.710848321693,3,0.0012,False,2520,
base,CH,mean_spin_rate,1784.6151710307877,-3.148931921067599,1.5330427916577012,-6.259791288977291,-0.2570391513991955,-0.5044362964472558,0.13362242228076043,-0.7628924032438302,-0.234407493055077,True,True,True,1.0,25.837,20.728,28.938,-3.148931921067599,238.02878494422453,-15161.456107555778,5,0.002,False,2520,
base,CH,mean_pfx_x,-0.4221944766301801,-0.012106612901671398,0.004756849611497668,-0.021352325195682507,-0.0027081553630667566,0.0004795736840232905,0.00016239216624505903,0.00015760426391684006,0.0007877962085908515,True,True,True,0.0018,,,,-0.012106612901671398,1.0957066200716734,1795.077375339333,21,0.0083,False,2520,
