experiment,pitch_type,outcome,eval_age,rate_mean,rate_sd,hdi_lo,hdi_hi
base,CU,mean_velo,24,0.0872,0.04844,-0.0077,0.1789
base,CU,mean_velo,28,-0.0448,0.04262,-0.1246,0.0361
base,CU,mean_velo,32,-0.1767,0.04275,-0.2562,-0.096
base,CU,mean_velo,36,-0.3086,0.04878,-0.4052,-0.2185
base,FC,mean_velo,24,0.0532,0.04191,-0.034,0.1315
base,FC,mean_velo,28,-0.0239,0.03023,-0.086,0.0317
base,FC,mean_velo,32,-0.1009,0.02773,-0.1566,-0.0479
base,FC,mean_velo,36,-0.1779,0.03634,-0.2484,-0.1054
base,FF,mean_velo,24,-0.0654,0.01954,-0.1006,-0.0244
base,FF,mean_velo,28,-0.1583,0.01597,-0.1881,-0.1257
base,FF,mean_velo,32,-0.2512,0.0162,-0.2813,-0.2181
base,FF,mean_velo,36,-0.3442,0.02011,-0.3822,-0.3035
base,SI,mean_velo,24,-0.1151,0.02783,-0.1707,-0.0612
base,SI,mean_velo,28,-0.1915,0.02362,-0.2375,-0.1447
base,SI,mean_velo,32,-0.2679,0.02344,-0.3128,-0.221
base,SI,mean_velo,36,-0.3443,0.02739,-0.3954,-0.2883
base,SL,mean_velo,24,0.0437,0.03243,-0.0208,0.1057
base,SL,mean_velo,28,-0.0613,0.02507,-0.1104,-0.0132
base,SL,mean_velo,32,-0.1662,0.02541,-0.2166,-0.1168
base,SL,mean_velo,36,-0.2711,0.03321,-0.3373,-0.2074
