pitch_type,decline_per_yr,ci_lo_95,ci_hi_95
FF,-0.1561,-0.1907,-0.1238
SL,-0.058,-0.1094,-0.0107
SI,-0.1894,-0.2332,-0.1384
CH,-0.0521,-0.1258,0.0392
CU,-0.0465,-0.1347,0.0327
FC,-0.0217,-0.0805,0.0373
